id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
204,Taiwan,2022-04-24,BNT,6411747,6095812,3118559,47159,0,0,15673277
203,Taiwan,2022-04-24,高端,912826,833405,659590,11660,0,0,2417481
202,Taiwan,2022-04-24,Moderna,4276030,4486796,9638750,138371,0,0,18539947
201,Taiwan,2022-04-24,Oxford/AstraZeneca,8062966,7147757,42490,804,0,0,15254017
200,Taiwan,2022-04-25,ALL,19679107,18578328,13552317,198229,0,0,52007981
199,Taiwan,2022-04-25,BNT,6411794,6095795,3120713,46865,0,0,15675167
198,Taiwan,2022-04-25,高端,919215,837521,674660,11733,0,0,2443129
197,Taiwan,2022-04-25,Moderna,4284692,4496652,9713694,138792,0,0,18633830
196,Taiwan,2022-04-25,Oxford/AstraZeneca,8063406,7148360,43250,839,0,0,15255855
195,Taiwan,2022-04-26,ALL,19692380,18590793,13624153,197401,0,0,52104727
194,Taiwan,2022-04-26,BNT,6411817,6095791,3121119,46654,0,0,15675381
193,Taiwan,2022-04-26,高端,925051,841295,687639,11738,0,0,2465723
192,Taiwan,2022-04-26,Moderna,4291561,4504562,9771281,138166,0,0,18705570
191,Taiwan,2022-04-26,Oxford/AstraZeneca,8063951,7149145,44114,843,0,0,15258053
190,Taiwan,2022-04-27,ALL,19707610,18604902,13699538,195136,0,0,52207186
189,Taiwan,2022-04-27,BNT,6411849,6095856,3121197,46190,0,0,15675092
188,Taiwan,2022-04-27,高端,932633,846175,704499,11622,0,0,2494929
187,Taiwan,2022-04-27,Moderna,4298618,4512936,9828605,136441,0,0,18776600
186,Taiwan,2022-04-27,Oxford/AstraZeneca,8064510,7149935,45237,883,0,0,15260565
185,Taiwan,2022-04-28,ALL,19722265,18618888,13773919,194419,0,0,52309491
184,Taiwan,2022-04-28,BNT,6411911,6095986,3121367,45978,0,0,15675242
183,Taiwan,2022-04-28,高端,939063,850221,717591,11621,0,0,2518496
182,Taiwan,2022-04-28,Moderna,4306234,4521724,9888657,135926,0,0,18852541
181,Taiwan,2022-04-28,Oxford/AstraZeneca,8065057,7150957,46304,894,0,0,15263212
180,Taiwan,2022-04-29,ALL,19737798,18634418,13864396,193881,0,0,52430493
179,Taiwan,2022-04-29,BNT,6411915,6096213,3121490,45801,0,0,15675419
178,Taiwan,2022-04-29,高端,944775,853868,729038,11627,0,0,2539308
177,Taiwan,2022-04-29,Moderna,4315500,4532659,9966508,135551,0,0,18950218
176,Taiwan,2022-04-29,Oxford/AstraZeneca,8065608,7151678,47360,902,0,0,15265548
175,Taiwan,2022-05-01,ALL,19749743,18646470,13933488,193477,0,0,52523178
174,Taiwan,2022-05-01,BNT,6411918,6096226,3121487,45452,0,0,15675083
173,Taiwan,2022-05-01,高端,949451,856753,738442,11752,0,0,2556398
172,Taiwan,2022-05-01,Moderna,4322280,4541167,10024859,135358,0,0,19023664
171,Taiwan,2022-05-01,Oxford/AstraZeneca,8066094,7152324,48700,915,0,0,15268033
170,Taiwan,2022-05-02,ALL,19761449,18656778,13984896,193899,0,0,52597022
169,Taiwan,2022-05-02,BNT,6411918,6096255,3121503,45488,0,0,15675164
