id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
302,Taiwan,2022-09-23,Moderna,5009460,5218799,11549875,126245,1814779,0,23719158
301,Taiwan,2022-09-23,ALL,21691189,20288219,16942109,186033,2423451,0,61531001
300,Taiwan,2022-09-24,Oxford/AstraZeneca,8072418,7164380,59778,720,0,0,15297296
299,Taiwan,2022-09-24,高端,1016916,985957,934187,12098,91182,0,3040340
298,Taiwan,2022-09-24,BNT,7581728,6905625,4340982,45772,213748,0,19087855
297,Taiwan,2022-09-24,Novavax,16001,20404,63681,1233,305841,0,407160
296,Taiwan,2022-09-24,Moderna,5010896,5224218,11552756,126252,1818419,0,23732541
295,Taiwan,2022-09-24,ALL,21697959,20300584,16951384,186075,2429190,0,61565192
294,Taiwan,2022-09-26,Oxford/AstraZeneca,8072418,7164382,59780,720,0,0,15297300
293,Taiwan,2022-09-26,高端,1016956,986070,934840,12107,91587,0,3041560
292,Taiwan,2022-09-26,BNT,7583885,6908609,4343481,45785,214501,0,19096261
291,Taiwan,2022-09-26,Novavax,16031,20477,63887,1234,306346,0,407975
290,Taiwan,2022-09-26,Moderna,5011689,5226690,11555424,126272,1823015,0,23743090
289,Taiwan,2022-09-26,ALL,21700979,20306228,16957412,186118,2435449,0,61586186
288,Taiwan,2022-09-27,Oxford/AstraZeneca,8072424,7164383,59780,720,0,0,15297307
287,Taiwan,2022-09-27,高端,1016991,986184,935431,12109,91984,0,3042699
286,Taiwan,2022-09-27,BNT,7586614,6912033,4346805,45786,215396,0,19106634
285,Taiwan,2022-09-27,Novavax,16081,20617,64266,1236,307481,0,409681
284,Taiwan,2022-09-27,Moderna,5012757,5229806,11557850,126282,1827997,0,23754692
283,Taiwan,2022-09-27,ALL,21704867,20313023,16964132,186133,2442858,0,61611013
282,Taiwan,2022-09-28,Oxford/AstraZeneca,8072426,7164391,59779,720,0,0,15297316
281,Taiwan,2022-09-28,高端,1017024,986303,936046,12106,92424,0,3043903
280,Taiwan,2022-09-28,BNT,7590228,6918246,4350726,45731,216660,0,19121591
279,Taiwan,2022-09-28,Novavax,16194,20714,64515,1243,308378,0,411044
278,Taiwan,2022-09-28,Moderna,5013685,5232795,11560170,126229,1832564,0,23765443
277,Taiwan,2022-09-28,ALL,21709557,20322449,16971236,186029,2450026,0,61639297
276,Taiwan,2022-09-29,Oxford/AstraZeneca,8072432,7164394,59779,720,0,0,15297325
275,Taiwan,2022-09-29,高端,1017059,986399,936558,12113,92723,0,3044852
274,Taiwan,2022-09-29,BNT,7593385,6923777,4354371,45757,217585,0,19134875
273,Taiwan,2022-09-29,Novavax,16238,20772,64727,1243,308930,0,411910
272,Taiwan,2022-09-29,Moderna,5014668,5235747,11562691,126255,1836544,0,23775905
271,Taiwan,2022-09-29,ALL,21713782,20331089,16978126,186088,2455782,0,61664867
270,Taiwan,2022-09-30,Oxford/AstraZeneca,8072429,7164397,59779,720,0,0,15297325
269,Taiwan,2022-09-30,高端,1018778,986997,937173,12120,93020,0,3048088
268,Taiwan,2022-09-30,BNT,7598065,6932768,4359430,45763,218435,0,19154461
267,Taiwan,2022-09-30,Novavax,16288,20877,64989,1245,309549,0,412948
266,Taiwan,2022-09-30,Moderna,5015902,5240452,11566671,126215,1841367,0,23790607
265,Taiwan,2022-09-30,ALL,21721462,20345491,16988042,186063,2462371,0,61703429
264,Taiwan,2022-10-01,Oxford/AstraZeneca,8072430,7164396,59779,720,0,0,15297325
263,Taiwan,2022-10-01,高端,1017133,986573,937615,12121,93234,0,3046676
262,Taiwan,2022-10-01,BNT,7600600,6938367,4362929,45783,219053,0,19166732
261,Taiwan,2022-10-01,Novavax,16324,20933,65164,1247,309905,0,413573
260,Taiwan,2022-10-01,Moderna,5016601,5243382,11568831,126208,1844124,0,23799146
259,Taiwan,2022-10-01,ALL,21723088,20353651,16994318,186079,2466316,0,61723452
258,Taiwan,2022-10-03,Oxford/AstraZeneca,8072433,7164397,59779,720,0,0,15297329
257,Taiwan,2022-10-03,高端,1017158,986635,938016,12123,93478,0,3047410
256,Taiwan,2022-10-03,BNT,7601556,6940192,4364230,45832,219487,0,19171297
255,Taiwan,2022-10-03,Novavax,16585,21250,66146,1274,311417,0,416672
254,Taiwan,2022-10-03,Moderna,5017156,5245284,11570704,126221,1846321,0,23805686
253,Taiwan,2022-10-03,ALL,21724888,20357758,16998875,186170,2470703,0,61738394
252,Taiwan,2022-10-04,Oxford/AstraZeneca,8072415,7164398,59779,720,0,0,15297312
251,Taiwan,2022-10-04,高端,1017186,986695,938400,12127,93729,0,3048137
250,Taiwan,2022-10-04,BNT,7603008,6943132,4366144,45850,220122,0,19178256
249,Taiwan,2022-10-04,Novavax,16679,21416,66595,1276,312360,0,418326
248,Taiwan,2022-10-04,Moderna,5017815,5247355,11572231,126223,1848997,0,23812621
247,Taiwan,2022-10-04,ALL,21727103,20362996,17003149,186196,2475208,0,61754652
246,Taiwan,2022-10-05,Oxford/AstraZeneca,8072416,7164405,59779,720,0,0,15297320
245,Taiwan,2022-10-05,高端,1017211,986791,938790,12130,93936,0,3048858
244,Taiwan,2022-10-05,BNT,7604979,6947458,4368379,45887,220804,0,19187507
243,Taiwan,2022-10-05,Novavax,16791,21614,67132,1283,313490,0,420310
242,Taiwan,2022-10-05,Moderna,5018323,5248953,11573700,126153,1851108,0,23818237
241,Taiwan,2022-10-05,ALL,21729720,20369221,17007780,186173,2479338,0,61772232
240,Taiwan,2022-10-06,Oxford/AstraZeneca,8072418,7164408,59780,720,0,0,15297326
239,Taiwan,2022-10-06,高端,1017247,986906,939324,12136,94312,0,3049925
238,Taiwan,2022-10-06,BNT,7606393,6950502,4369863,45882,221291,0,19193931
237,Taiwan,2022-10-06,Novavax,16911,21839,67704,1295,314625,0,422374
236,Taiwan,2022-10-06,Moderna,5018856,5250512,11575332,126182,1853665,0,23824547
235,Taiwan,2022-10-06,ALL,21731825,20374167,17012003,186215,2483893,0,61788103
234,Taiwan,2022-10-07,Oxford/AstraZeneca,8072418,7164408,59780,720,0,0,15297326
233,Taiwan,2022-10-07,高端,1018955,987486,939773,12144,94508,0,3052866
232,Taiwan,2022-10-07,BNT,7608710,6955994,4372523,45876,221894,0,19204997
231,Taiwan,2022-10-07,Novavax,17023,22052,68365,1325,316092,0,424857
230,Taiwan,2022-10-07,Moderna,5019675,5253274,11577335,125966,1854760,0,23831010
229,Taiwan,2022-10-07,ALL,21736781,20383214,17017776,186031,2487254,0,61811056
228,Taiwan,2022-10-08,Oxford/AstraZeneca,8072418,7164415,59780,720,0,0,15297333
227,Taiwan,2022-10-08,高端,1017303,987082,940340,12150,94829,0,3051704
226,Taiwan,2022-10-08,BNT,7611499,6965974,4375606,45883,222537,0,19221499
225,Taiwan,2022-10-08,Novavax,17194,22334,69258,1331,317599,0,427716
224,Taiwan,2022-10-08,Moderna,5020502,5258031,11579988,125939,1857358,0,23841818
223,Taiwan,2022-10-08,ALL,21738916,20397836,17024972,186023,2492323,0,61840070
222,Taiwan,2022-10-11,Oxford/AstraZeneca,8072421,7164424,59781,720,0,0,15297346
221,Taiwan,2022-10-11,高端,1019006,987655,940698,12149,95056,0,3054564
220,Taiwan,2022-10-11,BNT,7612537,6968262,4376819,45852,222976,0,19226446
219,Taiwan,2022-10-11,Novavax,17287,22458,69618,1338,318373,0,429074
218,Taiwan,2022-10-11,Moderna,5021086,5259488,11580970,125939,1859036,0,23846519
217,Taiwan,2022-10-11,ALL,21742337,20402287,17027886,185998,2495441,0,61853949
216,Taiwan,2022-10-12,Oxford/AstraZeneca,8072423,7164411,59780,720,0,0,15297334
215,Taiwan,2022-10-12,高端,1019038,987729,941055,12149,95316,0,3055287
214,Taiwan,2022-10-12,BNT,7613718,6971142,4378260,45854,223534,0,19232508
213,Taiwan,2022-10-12,Novavax,17365,22578,70043,1338,319272,0,430596
212,Taiwan,2022-10-12,Moderna,5021490,5260637,11581906,125931,1860812,0,23850776
211,Taiwan,2022-10-12,ALL,21744034,20406497,17031044,185992,2498934,0,61866501
210,Taiwan,2022-10-13,Oxford/AstraZeneca,8072444,7164430,59781,720,0,0,15297375
209,Taiwan,2022-10-13,高端,1019063,987816,941521,12149,95561,0,3056110
208,Taiwan,2022-10-13,BNT,7615075,6973697,4379576,45862,223983,0,19238193
207,Taiwan,2022-10-13,Novavax,17463,22785,70516,1353,320369,0,432486
206,Taiwan,2022-10-13,Moderna,5022026,5262095,11582815,125902,1862109,0,23854947
205,Taiwan,2022-10-13,ALL,21746071,20410823,17034209,185986,2502022,0,61879111
204,Taiwan,2022-10-14,Oxford/AstraZeneca,8072447,7164436,59781,720,0,0,15297384
203,Taiwan,2022-10-14,高端,1019089,987883,941838,12149,95765,0,3056724
202,Taiwan,2022-10-14,BNT,7616914,6978130,4381557,45762,224476,0,19246839
201,Taiwan,2022-10-14,Novavax,17689,23129,71747,1362,322574,0,436501
200,Taiwan,2022-10-14,Moderna,5022651,5264049,11583818,125895,1863446,0,23859859
199,Taiwan,2022-10-14,ALL,21748790,20417627,17038741,185888,2506261,0,61897307
198,Taiwan,2022-10-15,Oxford/AstraZeneca,8072447,7164436,59781,720,0,0,15297384
197,Taiwan,2022-10-15,高端,1019111,987946,942174,12150,96007,0,3057388
196,Taiwan,2022-10-15,BNT,7619894,6984359,4383975,45776,224913,0,19258917
195,Taiwan,2022-10-15,Novavax,17781,23293,72334,1369,323441,0,438218
194,Taiwan,2022-10-15,Moderna,5023387,5266819,11585144,125899,1864898,0,23866147
193,Taiwan,2022-10-15,ALL,21752620,20426853,17043408,185914,2509259,0,61918054
192,Taiwan,2022-10-17,Oxford/AstraZeneca,8072447,7164438,59782,720,0,0,15297387
191,Taiwan,2022-10-17,高端,1019129,988019,942464,12149,96195,0,3057956
190,Taiwan,2022-10-17,BNT,7620657,6985746,4385063,45776,225213,0,19262455
189,Taiwan,2022-10-17,Novavax,17841,23402,72655,1373,324061,0,439332
188,Taiwan,2022-10-17,Moderna,5023872,5268172,11586096,125769,1865831,0,23869740
187,Taiwan,2022-10-17,ALL,21753946,20429777,17046060,185787,2511300,0,61926870
186,Taiwan,2022-10-18,Oxford/AstraZeneca,8072451,7164440,59782,720,0,0,15297393
185,Taiwan,2022-10-18,高端,1019145,988085,942687,12150,96336,0,3058403
184,Taiwan,2022-10-18,BNT,7621737,6987528,4386307,45782,225903,0,19267257
183,Taiwan,2022-10-18,Novavax,17887,23499,72963,1379,324722,0,440450
182,Taiwan,2022-10-18,Moderna,5024502,5269705,11586726,125776,1866612,0,23873321
181,Taiwan,2022-10-18,ALL,21755722,20433257,17048465,185807,2513573,0,61936824
180,Taiwan,2022-10-19,Oxford/AstraZeneca,8072453,7164451,59782,720,0,0,15297406
179,Taiwan,2022-10-19,高端,1019173,988160,943000,12153,96502,0,3058988
178,Taiwan,2022-10-19,BNT,7623038,6990582,4387792,45784,226353,0,19273549
177,Taiwan,2022-10-19,Novavax,17985,23619,73350,1383,325483,0,441820
176,Taiwan,2022-10-19,Moderna,5024900,5270864,11587319,125763,1867208,0,23876054
175,Taiwan,2022-10-19,ALL,21757549,20437676,17051243,185803,2515546,0,61947817
174,Taiwan,2022-10-20,Oxford/AstraZeneca,8072454,7164456,59783,720,0,0,15297413
173,Taiwan,2022-10-20,高端,1019193,988229,943307,12158,96728,0,3059615
172,Taiwan,2022-10-20,BNT,7624327,6993385,4388851,45444,226741,0,19278748
171,Taiwan,2022-10-20,Novavax,18076,23782,73843,1385,326388,0,443474
170,Taiwan,2022-10-20,Moderna,5025356,5272098,11588316,125759,1867723,0,23879252
169,Taiwan,2022-10-20,ALL,21759406,20441950,17054100,185466,2517580,0,61958502
168,Taiwan,2022-10-22,Oxford/AstraZeneca,8072455,7164458,59783,720,0,0,15297416
167,Taiwan,2022-10-22,高端,1019240,988356,943746,12160,96997,0,3060499
